,0
1006,Kieran Culkin
1007,Jennifer Ehle
1008,Raymond J. Barry
1009,Jürgen Prochnow
1010,Chris Elliott
1011,James Doohan
1012,Adam Goldberg
1013,James Russo
1014,Geraldine Chaplin
1015,Dina Meyer
1016,Kristin Chenoweth
1017,Beverly D'Angelo
1018,Spencer Breslin
1019,Faye Dunaway
1020,Tim Meadows
1021,Dougray Scott
1022,Donald Pleasence
1023,Tchéky Karyo
1024,Mo'Nique
1025,Tim Guinee
1026,Pat Hingle
1027,George Lopez
1028,Eli Wallach
1029,Catherine McCormack
1030,Kevin Smith
1031,Omar Epps
1032,Chris Messina
1033,David Hyde Pierce
1034,Nora Dunn
1035,Paul Guilfoyle
1036,Bridgette Wilson
1037,Anthony LaPaglia
1038,Jon Heder
1039,Mark Margolis
1040,Debra Messing
1041,Jerry O'Connell
1042,Bill Moseley
1043,Jordi Mollà
1044,Romola Garai
1045,Mako
1046,Michelle Trachtenberg
1047,Hilary Duff
1048,Kelly Reilly
1049,Kelli Garner
1050,Denholm Elliott
1051,Rafe Spall
1052,Rhona Mitra
1053,Robert Prosky
1054,Bridget Fonda
1055,Paul Schneider
1056,Geoffrey Lewis
1057,Chris Kattan
1058,Kimberly Elise
1059,Tracey Walter
1060,Harry Connick Jr.
1061,Mekhi Phifer
1062,Robert Loggia
1063,Gina Gershon
1064,Bai Ling
1065,Alexis Bledel
1066,Bridget Moynahan
1067,James Coburn
1068,Sam Worthington
1069,Carol Kane
1070,Ernie Hudson
1071,Kevin Durand
1072,Liam Hemsworth
1073,David Keith
1074,Jimmy Bennett
1075,John Witherspoon
1076,Josh Duhamel
1077,Nicole Ari Parker
1078,Rupert Grint
1079,Gillian Anderson
1080,Robert John Burke
1081,Leland Orser
1082,Alyson Hannigan
1083,America Ferrera
1084,Colin Hanks
1085,Lou Diamond Phillips
1086,Christopher Meloni
1087,Harry Lennix
1088,Amy Sedaris
1089,Julie Walters
1090,Kelly Macdonald
1091,Wanda Sykes
1092,David Warner
1093,Rosemarie DeWitt
1094,Tom Everett Scott
1095,Anne Bancroft
1096,Sanaa Lathan
1097,Chelcie Ross
1098,Richard T. Jones
1099,Jimmi Simpson
1100,Aasif Mandvi
1101,Jennifer Love Hewitt
1102,Peter Gallagher
1103,Andy Richter
1104,Steven Seagal
1105,Rooney Mara
1106,Brady Corbet
1107,Olga Kurylenko
1108,Jon Bernthal
1109,Debra Monk
1110,Thomas Lennon
1111,Kathleen Turner
1112,Brian Van Holt
1113,Joe Lo Truglio
1114,Sienna Miller
1115,Josh Gad
1116,Alison Lohman
1117,Judge Reinhold
1118,Monica Bellucci
1119,Eileen Atkins
1120,Penelope Ann Miller
1121,Holland Taylor
1122,Gregg Henry
1123,Tony Goldwyn
1124,Campbell Scott
1125,Dane Cook
1126,Jesse Bradford
1127,Joshua Jackson
1128,Naomie Harris
1129,Diedrich Bader
1130,Samantha Mathis
1131,Lesley Manville
1132,Hugh Dancy
1133,James Nesbitt
1134,Bill Nunn
1135,Edward Herrmann
1136,Jon Tenney
1137,Armin Mueller-Stahl
1138,Jack Thompson
1139,Martin Donovan
1140,Christopher Lambert
1141,Ludacris
1142,Chris Penn
1143,Karel Roden
1144,Kathy Baker
1145,Eddie Redmayne
1146,Cara Seymour
1147,Omar Benson Miller
1148,Kevin Zegers
1149,Mark Addy
1150,John Ortiz
1151,Imogen Poots
1152,Garret Dillahunt
1153,Anthony Heald
1154,Dean Norris
1155,Bruce Davison
1156,Lily Tomlin
1157,Doug Jones
1158,Rashida Jones
1159,Peter Gerety
1160,Madonna
1161,Eva Green
1162,Goldie Hawn
1163,Wendell Pierce
1164,Nathan Fillion
1165,Walter Koenig
1166,Dallas Roberts
1167,Alexander Skarsgård
1168,Bradley Whitford
1169,Dave Sheridan
1170,Rob Riggle
1171,Diane Venora
1172,Alex Pettyfer
1173,Chris O'Donnell
1174,Billy Zane
1175,Jean Smart
1176,Natascha McElhone
1177,Hill Harper
1178,Lambert Wilson
1179,Linda Emond
1180,J. T. Walsh
1181,Bernard Hill
1182,Marshall Bell
1183,Dana Ivey
1184,Shannon Elizabeth
1185,Harland Williams
1186,William Mapother
1187,Dominic Purcell
1188,Rosanna Arquette
1189,Andrew Garfield
1190,Brian Doyle-Murray
1191,Alicia Silverstone
1192,Carmen Ejogo
1193,Daniel Roebuck
1194,David Caruso
1195,Robert Wagner
1196,Tamala Jones
1197,Amber Valletta
1198,Jordana Brewster
1199,Emmy Rossum
1200,Boyd Holbrook
1201,James Corden
1202,Amy Irving
1203,Brendan Sexton III
1204,Mike Vogel
1205,Ethan Embry
1206,Joey King
1207,Colm Meaney
1208,Clark Duke
1209,Roger Rees
1210,Cynthia Stevenson
1211,Frances O'Connor
1212,Shirley MacLaine
1213,James Cosmo
1214,Holt McCallany
1215,Natasha Henstridge
1216,Reg E. Cathey
1217,Michael B. Jordan
1218,Blake Lively
1219,Eddie Izzard
1220,Roddy McDowall
1221,Joe Don Baker
1222,Nichelle Nichols
1223,DeForest Kelley
1224,Brittany Snow
1225,Jason Ritter
1226,James Garner
1227,John Mahoney
1228,Billy Dee Williams
1229,Lucas Till
1230,Kevin Nealon
1231,Robert Davi
1232,Peter O'Toole
1233,50 Cent
1234,Maura Tierney
1235,Génesis Rodríguez
1236,Amanda Bynes
1237,Mel Brooks
1238,Geena Davis
1239,Caroline Aaron
1240,Ralph Brown
1241,BD Wong
1242,Tasha Smith
1243,Eamonn Walker
1244,John Beasley
1245,Alicia Vikander
1246,Peter Fonda
1247,Ginnifer Goodwin
1248,Donnie Wahlberg
1249,Alexandra Maria Lara
1250,Xavier Samuel
1251,Edward Fox
1252,Ernest Borgnine
1253,Sydney Pollack
1254,Patrick Swayze
1255,Richard Roundtree
1256,Kenny Baker
1257,Brent Spiner
1258,Lea Thompson
1259,Aaron Yoo
1260,Sela Ward
1261,Ari Graynor
1262,Thomas Ian Nicholas
1263,Chris Mulkey
1264,Charlie Day
1265,Ivana Miličević
1266,Sean Hayes
1267,Scott Porter
1268,Gretchen Mol
1269,Louise Fletcher
1270,Danny Aiello
1271,Sean Patrick Thomas
1272,Melissa George
1273,Macaulay Culkin
1274,Scott Wilson
1275,Armie Hammer
1276,Burt Young
1277,Jeffrey DeMunn
1278,Aaron Paul
1279,Maggie Q
1280,Jim Sturgess
1281,James Badge Dale
1282,Method Man
1283,Ryan Merriman
1284,Powers Boothe
1285,Philip Bosco
1286,Yaphet Kotto
1287,Rowan Atkinson
1288,Elizabeth Perkins
1289,Jack McGee
1290,Alia Shawkat
1291,Alanna Ubach
1292,Cathy Moriarty
1293,Theresa Randle
1294,L.Q. Jones
1295,Shohreh Aghdashloo
1296,Jack Kehler
1297,Jason Alexander
1298,Frances Conroy
1299,Joel McHale
1300,Mary Beth Hurt
